date,temperature
2025-04-01T00:00:00+07:00,24.89
2025-04-01T00:01:00+07:00,34.94
2025-04-01T00:02:00+07:00,23.96
2025-04-01T00:03:00+07:00,31.38
2025-04-01T00:04:00+07:00,31.92
2025-04-01T00:05:00+07:00,26.26
2025-04-01T00:06:00+07:00,32.45
2025-04-01T00:07:00+07:00,28.95
2025-04-01T00:08:00+07:00,30.5
2025-04-01T00:09:00+07:00,25.89
2025-04-01T00:10:00+07:00,28.57
2025-04-01T00:11:00+07:00,24.33
2025-04-01T00:12:00+07:00,23.82
2025-04-01T00:13:00+07:00,22.33
2025-04-01T00:14:00+07:00,31.28
2025-04-01T00:15:00+07:00,29.8
2025-04-01T00:16:00+07:00,20.58
2025-04-01T00:17:00+07:00,25.08
2025-04-01T00:18:00+07:00,22.65
2025-04-01T00:19:00+07:00,31.57
2025-04-01T00:20:00+07:00,29.73
2025-04-01T00:21:00+07:00,20.9
2025-04-01T00:22:00+07:00,34.17
2025-04-01T00:23:00+07:00,27.05
2025-04-01T00:24:00+07:00,31.35
2025-04-01T00:25:00+07:00,32.73
2025-04-01T00:26:00+07:00,28.59
2025-04-01T00:27:00+07:00,31.14
2025-04-01T00:28:00+07:00,28.81
2025-04-01T00:29:00+07:00,23.15
2025-04-01T00:30:00+07:00,28.27
2025-04-01T00:31:00+07:00,21.9
2025-04-01T00:32:00+07:00,30.16
2025-04-01T00:33:00+07:00,24.21
2025-04-01T00:34:00+07:00,25.24
2025-04-01T00:35:00+07:00,28.92
2025-04-01T00:36:00+07:00,20.06
2025-04-01T00:37:00+07:00,26.86
2025-04-01T00:38:00+07:00,29.57
2025-04-01T00:39:00+07:00,25.58
2025-04-01T00:40:00+07:00,28.46
2025-04-01T00:41:00+07:00,25.45
2025-04-01T00:42:00+07:00,29.31
2025-04-01T00:43:00+07:00,23.12
2025-04-01T00:44:00+07:00,23.42
2025-04-01T00:45:00+07:00,20.32
2025-04-01T00:46:00+07:00,20.6
2025-04-01T00:47:00+07:00,26.55
2025-04-01T00:48:00+07:00,25.82
2025-04-01T00:49:00+07:00,24.3
2025-04-01T00:50:00+07:00,20.42
2025-04-01T00:51:00+07:00,21.61
2025-04-01T00:52:00+07:00,34.25
2025-04-01T00:53:00+07:00,33.66
2025-04-01T00:54:00+07:00,28.17
2025-04-01T00:55:00+07:00,20.89
2025-04-01T00:56:00+07:00,22.1
2025-04-01T00:57:00+07:00,25.76
2025-04-01T00:58:00+07:00,31.03
2025-04-01T00:59:00+07:00,30.02
2025-04-01T01:00:00+07:00,21.83
2025-04-01T01:01:00+07:00,21.25
2025-04-01T01:02:00+07:00,22.55
2025-04-01T01:03:00+07:00,28.09
2025-04-01T01:04:00+07:00,25.76
2025-04-01T01:05:00+07:00,24.59
2025-04-01T01:06:00+07:00,28.84
2025-04-01T01:07:00+07:00,26.72
2025-04-01T01:08:00+07:00,25.96
2025-04-01T01:09:00+07:00,26.24
2025-04-01T01:10:00+07:00,24.22
2025-04-01T01:11:00+07:00,24.59
2025-04-01T01:12:00+07:00,29.52
2025-04-01T01:13:00+07:00,25.81
2025-04-01T01:14:00+07:00,28.16
2025-04-01T01:15:00+07:00,27.16
2025-04-01T01:16:00+07:00,20.34
2025-04-01T01:17:00+07:00,23.79
2025-04-01T01:18:00+07:00,27.08
2025-04-01T01:19:00+07:00,26.11
2025-04-01T01:20:00+07:00,30.99
2025-04-01T01:21:00+07:00,33.59
2025-04-01T01:22:00+07:00,24.83
2025-04-01T01:23:00+07:00,24.0
2025-04-01T01:24:00+07:00,33.19
2025-04-01T01:25:00+07:00,21.93
2025-04-01T01:26:00+07:00,31.54
2025-04-01T01:27:00+07:00,22.0
2025-04-01T01:28:00+07:00,26.78
2025-04-01T01:29:00+07:00,20.56
2025-04-01T01:30:00+07:00,26.59
2025-04-01T01:31:00+07:00,21.78
2025-04-01T01:32:00+07:00,24.93
2025-04-01T01:33:00+07:00,34.21
2025-04-01T01:34:00+07:00,22.17
2025-04-01T01:35:00+07:00,31.84
2025-04-01T01:36:00+07:00,28.78
2025-04-01T01:37:00+07:00,31.55
2025-04-01T01:38:00+07:00,34.91
2025-04-01T01:39:00+07:00,23.88
2025-04-01T01:40:00+07:00,26.26
2025-04-01T01:41:00+07:00,21.89
2025-04-01T01:42:00+07:00,33.94
2025-04-01T01:43:00+07:00,29.63
2025-04-01T01:44:00+07:00,21.85
2025-04-01T01:45:00+07:00,30.14
2025-04-01T01:46:00+07:00,22.04
2025-04-01T01:47:00+07:00,23.49
2025-04-01T01:48:00+07:00,27.47
2025-04-01T01:49:00+07:00,22.31
2025-04-01T01:50:00+07:00,32.82
2025-04-01T01:51:00+07:00,24.01
2025-04-01T01:52:00+07:00,29.77
2025-04-01T01:53:00+07:00,23.25
2025-04-01T01:54:00+07:00,20.82
2025-04-01T01:55:00+07:00,25.7
2025-04-01T01:56:00+07:00,25.97
2025-04-01T01:57:00+07:00,20.96
2025-04-01T01:58:00+07:00,24.54
2025-04-01T01:59:00+07:00,29.01
2025-04-01T02:00:00+07:00,30.61
2025-04-01T02:01:00+07:00,21.42
2025-04-01T02:02:00+07:00,32.03
2025-04-01T02:03:00+07:00,29.2
2025-04-01T02:04:00+07:00,24.93
2025-04-01T02:05:00+07:00,24.88
2025-04-01T02:06:00+07:00,34.83
2025-04-01T02:07:00+07:00,29.62
2025-04-01T02:08:00+07:00,34.5
2025-04-01T02:09:00+07:00,23.47
2025-04-01T02:10:00+07:00,33.72
2025-04-01T02:11:00+07:00,22.65
2025-04-01T02:12:00+07:00,31.95
2025-04-01T02:13:00+07:00,24.91
2025-04-01T02:14:00+07:00,30.0
2025-04-01T02:15:00+07:00,28.34
2025-04-01T02:16:00+07:00,31.57
2025-04-01T02:17:00+07:00,31.98
2025-04-01T02:18:00+07:00,22.25
2025-04-01T02:19:00+07:00,31.42
2025-04-01T02:20:00+07:00,28.12
2025-04-01T02:21:00+07:00,21.68
2025-04-01T02:22:00+07:00,26.64
2025-04-01T02:23:00+07:00,26.78
2025-04-01T02:24:00+07:00,21.52
2025-04-01T02:25:00+07:00,22.84
2025-04-01T02:26:00+07:00,28.69
2025-04-01T02:27:00+07:00,33.77
2025-04-01T02:28:00+07:00,26.68
2025-04-01T02:29:00+07:00,23.36
2025-04-01T02:30:00+07:00,27.1
2025-04-01T02:31:00+07:00,22.36
2025-04-01T02:32:00+07:00,28.64
2025-04-01T02:33:00+07:00,28.53
2025-04-01T02:34:00+07:00,26.27
2025-04-01T02:35:00+07:00,25.94
2025-04-01T02:36:00+07:00,22.09
2025-04-01T02:37:00+07:00,21.96
2025-04-01T02:38:00+07:00,32.15
2025-04-01T02:39:00+07:00,21.7
2025-04-01T02:40:00+07:00,33.98
2025-04-01T02:41:00+07:00,23.44
2025-04-01T02:42:00+07:00,31.65
2025-04-01T02:43:00+07:00,25.34
2025-04-01T02:44:00+07:00,29.71
2025-04-01T02:45:00+07:00,33.6
2025-04-01T02:46:00+07:00,31.36
2025-04-01T02:47:00+07:00,34.12
2025-04-01T02:48:00+07:00,24.72
2025-04-01T02:49:00+07:00,29.94
2025-04-01T02:50:00+07:00,31.34
2025-04-01T02:51:00+07:00,25.01
2025-04-01T02:52:00+07:00,32.38
2025-04-01T02:53:00+07:00,23.17
2025-04-01T02:54:00+07:00,31.52
2025-04-01T02:55:00+07:00,27.65
2025-04-01T02:56:00+07:00,33.3
2025-04-01T02:57:00+07:00,21.9
2025-04-01T02:58:00+07:00,24.28
2025-04-01T02:59:00+07:00,32.18
2025-04-01T03:00:00+07:00,30.05
2025-04-01T03:01:00+07:00,20.49
2025-04-01T03:02:00+07:00,25.23
2025-04-01T03:03:00+07:00,21.06
2025-04-01T03:04:00+07:00,21.68
2025-04-01T03:05:00+07:00,31.11
2025-04-01T03:06:00+07:00,25.39
2025-04-01T03:07:00+07:00,20.63
2025-04-01T03:08:00+07:00,20.05
2025-04-01T03:09:00+07:00,32.55
2025-04-01T03:10:00+07:00,28.86
2025-04-01T03:11:00+07:00,23.5
2025-04-01T03:12:00+07:00,32.96
2025-04-01T03:13:00+07:00,27.3
2025-04-01T03:14:00+07:00,24.31
2025-04-01T03:15:00+07:00,31.9
2025-04-01T03:16:00+07:00,23.51
2025-04-01T03:17:00+07:00,26.71
2025-04-01T03:18:00+07:00,21.95
2025-04-01T03:19:00+07:00,28.73
2025-04-01T03:20:00+07:00,20.25
2025-04-01T03:21:00+07:00,33.88
2025-04-01T03:22:00+07:00,21.55
2025-04-01T03:23:00+07:00,24.94
2025-04-01T03:24:00+07:00,32.8
2025-04-01T03:25:00+07:00,20.56
2025-04-01T03:26:00+07:00,30.35
2025-04-01T03:27:00+07:00,20.03
2025-04-01T03:28:00+07:00,26.45
2025-04-01T03:29:00+07:00,31.48
2025-04-01T03:30:00+07:00,27.84
2025-04-01T03:31:00+07:00,20.03
2025-04-01T03:32:00+07:00,28.33
2025-04-01T03:33:00+07:00,20.06
2025-04-01T03:34:00+07:00,33.4
2025-04-01T03:35:00+07:00,27.82
2025-04-01T03:36:00+07:00,21.07
2025-04-01T03:37:00+07:00,23.52
2025-04-01T03:38:00+07:00,31.04
2025-04-01T03:39:00+07:00,27.32
2025-04-01T03:40:00+07:00,31.26
2025-04-01T03:41:00+07:00,21.36
2025-04-01T03:42:00+07:00,27.8
2025-04-01T03:43:00+07:00,34.63
2025-04-01T03:44:00+07:00,26.11
2025-04-01T03:45:00+07:00,23.06
2025-04-01T03:46:00+07:00,24.0
2025-04-01T03:47:00+07:00,20.3
2025-04-01T03:48:00+07:00,30.53
2025-04-01T03:49:00+07:00,29.94
2025-04-01T03:50:00+07:00,33.52
2025-04-01T03:51:00+07:00,28.17
2025-04-01T03:52:00+07:00,26.59
2025-04-01T03:53:00+07:00,32.13
2025-04-01T03:54:00+07:00,30.11
2025-04-01T03:55:00+07:00,33.97
2025-04-01T03:56:00+07:00,29.21
2025-04-01T03:57:00+07:00,25.6
2025-04-01T03:58:00+07:00,27.74
2025-04-01T03:59:00+07:00,33.36
2025-04-01T04:00:00+07:00,23.1
2025-04-01T04:01:00+07:00,32.33
2025-04-01T04:02:00+07:00,20.22
2025-04-01T04:03:00+07:00,20.1
2025-04-01T04:04:00+07:00,28.18
2025-04-01T04:05:00+07:00,30.5
2025-04-01T04:06:00+07:00,22.21
2025-04-01T04:07:00+07:00,26.18
2025-04-01T04:08:00+07:00,27.19
2025-04-01T04:09:00+07:00,31.44
2025-04-01T04:10:00+07:00,25.86
2025-04-01T04:11:00+07:00,20.65
2025-04-01T04:12:00+07:00,26.03
2025-04-01T04:13:00+07:00,34.35
2025-04-01T04:14:00+07:00,30.93
